num_ind,exact_exp_homo_b, simple_exp_homo_b,max_diff,fractional_max_diff
120,29.87447699,30,0.125523013,0.001046025
121,30.12448133,30.25,0.125518672,0.001037344
122,30.3744856,30.5,0.125514403,0.001028807
123,30.6244898,30.75,0.125510204,0.001020408
124,30.87449393,31,0.125506073,0.001012146
125,31.12449799,31.25,0.125502008,0.001004016
126,31.37450199,31.5,0.125498008,0.000996016
127,31.62450593,31.75,0.125494071,0.000988142
128,31.8745098,32,0.125490196,0.000980392
129,32.12451362,32.25,0.125486381,0.000972763
130,32.37451737,32.5,0.125482625,0.000965251
131,32.62452107,32.75,0.125478927,0.000957854
132,32.87452471,33,0.125475285,0.00095057
133,33.1245283,33.25,0.125471698,0.000943396
134,33.37453184,33.5,0.125468165,0.00093633
135,33.62453532,33.75,0.125464684,0.000929368
136,33.87453875,34,0.125461255,0.000922509
137,34.12454212,34.25,0.125457875,0.000915751
138,34.37454545,34.5,0.125454545,0.000909091
139,34.62454874,34.75,0.125451264,0.000902527
140,34.87455197,35,0.125448029,0.000896057
141,35.12455516,35.25,0.12544484,0.00088968
142,35.3745583,35.5,0.125441696,0.000883392
143,35.6245614,35.75,0.125438596,0.000877193
144,35.87456446,36,0.12543554,0.00087108
145,36.12456747,36.25,0.125432526,0.000865052
146,36.37457045,36.5,0.125429553,0.000859107
147,36.62457338,36.75,0.125426621,0.000853242
148,36.87457627,37,0.125423729,0.000847458
149,37.12457912,37.25,0.125420875,0.000841751
150,37.37458194,37.5,0.12541806,0.00083612
151,37.62458472,37.75,0.125415282,0.000830565
152,37.87458746,38,0.125412541,0.000825083
153,38.12459016,38.25,0.125409836,0.000819672
154,38.37459283,38.5,0.125407166,0.000814332
155,38.62459547,38.75,0.125404531,0.000809061
156,38.87459807,39,0.125401929,0.000803859
157,39.12460064,39.25,0.125399361,0.000798722
158,39.37460317,39.5,0.125396825,0.000793651
159,39.62460568,39.75,0.125394322,0.000788644
160,39.87460815,40,0.12539185,0.000783699
