,n_ton,avg_homo_b,exp_homo_b,exp_minus_avg
0,2,0.0,0.0005002501250625312,0.0005002501250625312
1,3,0.0,0.0015007503751875938,0.0015007503751875938
2,4,0.0,0.0030015007503751876,0.0030015007503751876
3,5,0.01098901098901099,0.0050025012506253125,-0.005986509738385677
4,6,0.013333333333333334,0.007503751875937969,-0.005829581457395365
5,7,0.014925373134328358,0.010505252626313155,-0.004420120508015202
6,8,0.017543859649122806,0.014007003501750877,-0.0035368561473719286
7,9,0.0,0.018009004502251128,0.018009004502251128
8,10,0.0,0.022511255627813902,0.022511255627813902
9,11,0.07407407407407407,0.02751375687843922,-0.046560317195634845
10,12,0.0,0.03301650825412707,0.03301650825412707
11,13,0.030303030303030304,0.03901950975487743,0.008716479451847128
12,14,0.0,0.045522761380690356,0.045522761380690356
13,15,0.03571428571428571,0.05252626313156578,0.01681197741728007
14,16,0.047619047619047616,0.060030015007503754,0.012410967388456137
15,17,0.041666666666666664,0.06803401700850426,0.02636735034183759
16,18,0.0625,0.07653826913456728,0.01403826913456728
17,19,0.043478260869565216,0.08554277138569286,0.04206451051612764
18,20,0.09523809523809523,0.09504752376188096,-0.00019057147621427684
19,21,0.14285714285714285,0.10505252626313157,-0.037804616594011284
20,22,0.11764705882352941,0.11555777888944473,-0.002089279934084684
21,23,0.11764705882352941,0.12656328164082042,0.008916222817291014
22,24,0.375,0.1380690345172586,-0.2369309654827414
23,25,0.25,0.1500750375187594,-0.09992496248124061
24,26,0.125,0.16258129064532265,0.037581290645322646
25,27,0.16666666666666666,0.17558779389694848,0.008921127230281822
26,28,0.18181818181818182,0.1890945472736368,0.007276365455454986
27,29,0.2631578947368421,0.2031015507753877,-0.0600563439614544
28,30,0.0,0.21760880440220104,0.21760880440220104
29,31,0.36363636363636365,0.23261630815407702,-0.13102005548228662
30,32,0.4166666666666667,0.24812406203101553,-0.16854260463565116
31,33,0.09090909090909091,0.26413206603301653,0.17322297512392562
32,34,0.2727272727272727,0.2806403201600801,0.007913047432807407
33,35,0.2857142857142857,0.2976488244122061,0.011934538697920383
34,36,1.125,0.3151575787893947,-0.8098424212106052
35,37,0.4166666666666667,0.33316658329164583,-0.08350008337502085
36,38,0.2222222222222222,0.3516758379189595,0.1294536156967373
37,39,0.2,0.3706853426713356,0.17068534267133562
38,40,0.5454545454545454,0.39019509754877435,-0.15525944790577106
39,41,0.5,0.4102051025512756,-0.08979489744872438
40,42,0.7,0.4307153576788395,-0.26928464232116045
41,43,0.7,0.45172586293146577,-0.24827413706853418
42,44,0.8181818181818182,0.47323661830915464,-0.3449451998726636
43,45,0.75,0.49524762381190596,-0.25475237618809404
44,46,0.8,0.51775887943972,-0.28224112056028006
45,47,0.42857142857142855,0.5407703851925961,0.11219895662116758
46,48,0.8,0.5642821410705353,-0.23571785892946473
47,49,0.2222222222222222,0.5882941470735368,0.36607192485131457
48,50,0.2,0.612806403201601,0.41280640320160095
49,51,1.0,0.6378189094547272,-0.3621810905452728
50,52,1.0,0.6633316658329164,-0.33666833416708364
51,53,0.6666666666666666,0.6893446723361683,0.022678005669501622
52,54,0.5,0.7158579289644822,0.2158579289644822
53,55,1.25,0.7428714357178589,-0.5071285642821411
54,56,1.5714285714285714,0.7703851925962981,-0.8010433788322733
55,58,1.0,0.8269134567283642,-0.17308654327163575
56,59,1.5,0.8559279639819909,-0.6440720360180091
57,60,1.25,0.8854427213606806,-0.3645572786393194
58,61,1.0,0.9154577288644322,-0.08454227113556778
59,62,0.6666666666666666,0.9459729864932468,0.27930631982658016
60,64,1.0,1.0085042521260628,0.008504252126062761
61,65,1.25,1.0405202601300654,-0.20947973986993462
62,66,1.2,1.0730365182591297,-0.12696348174087024
63,67,0.3333333333333333,1.1060530265132564,0.7727196931799232
64,68,1.6666666666666667,1.139569784892446,-0.5270968817742208
65,70,0.0,1.2081040520260131,1.2081040520260131
66,71,0.8,1.24312156078039,0.44312156078039
67,72,1.2,1.2786393196598296,0.07863931965982962
68,73,1.0,1.3146573286643317,0.3146573286643317
69,74,1.0,1.351175587793897,0.3511755877938969
70,75,2.0,1.3881940970485243,-0.6118059029514757
71,76,2.0,1.4257128564282142,-0.5742871435717858
72,77,1.0,1.463731865932967,0.463731865932967
73,78,2.0,1.502251125562781,-0.49774887443721894
74,79,2.3333333333333335,1.5412706353176588,-0.7920626980156746
75,80,1.6666666666666667,1.5807903951975986,-0.08587627146906818
76,81,2.5,1.6208104052026013,-0.8791895947973987
77,82,1.5,1.6613306653326663,0.16133066533266627
78,83,2.0,1.702351175587794,-0.29764882441220597
79,84,2.5,1.743871935967984,-0.756128064032016
80,85,3.0,1.7858929464732367,-1.2141070535267633
81,87,4.0,1.8714357178589291,-2.128564282141071
82,88,4.0,1.91495747873937,-2.08504252126063
83,89,2.0,1.958979489744873,-0.041020510255127096
84,90,2.0,2.0035017508754387,0.0035017508754386917
85,91,1.0,2.048524262131066,1.0485242621310662
86,93,2.5,2.1400700350175086,-0.3599299649824914
87,95,3.4,2.233616808404201,-1.166383191595799
88,96,1.0,2.281140570285143,1.2811405702851428
89,98,2.0,2.3776888444222113,0.3776888444222113
90,99,3.5,2.4267133566783388,-1.0732866433216612
