avg_homo_b,exp_homo_b,n_ton
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,32
0,0,33
0,0,34
0,0,35
0,0,36
0,0,37
1,0,38
1,0,39
0,0,40
0,0,41
0,0,42
1,0,43
1,0,44
1,0,45
0,0,46
0,0,47
2,0,48
2,0,49
0,0,50
2,0,51
2,0,52
0,0,53
2,0,55
2,0,57
1,0,58
1,0,59
2,0,61
0,0,62
3,0,63
3,0,64
2,0,65
4,0,66
2,0,67
2,0,69
2,0,70
2,0,71
3,0,74
3,0,75
1,0,76
2,0,77
2,0,78
5,0,79
3,0,81
3,0,82
4,0,83
3,0,84
4,0,86
2,0,87
2,0,88
5,0,93
7,0,94
5,0,95
5,0,96
8,0,99
4,0,100
3,0,101
3,0,103
5,0,104
9,0,105
4,0,107
6,0,108
7,0,111
11,0,116
6,0,126
11,0,127
8,0,131
6,0,135
14,0,141
9,0,144
9,0,148
17,0,157
16,0,166
10,0,167
17,0,170
15,0,181
16,0,189
14,0,191
25,0,211
31,0,213
30,0,233
43,0,271
