,heterozygotes,homozygotes
912,514,199
913,473,220
916,506,205
918,530,194
924,524,200
934,500,217
935,491,222
936,974,449
937,497,220
940,498,221
943,1557,636
947,521,213
953,1477,691
954,1024,442
956,1458,705
959,479,240
960,488,236
968,498,235
971,519,226
972,504,234
1001,509,246
1013,511,251
1021,509,256
1026,472,277
1031,1429,832
1032,992,536
1036,496,270
1040,978,551
1043,525,259
1044,486,279
1046,512,267
1049,501,274
1052,480,286
1053,1543,808
1057,521,268
1059,982,568
1060,520,270
1062,522,270
1063,1018,554
1064,1434,879
1065,519,273
1066,1500,849
1067,481,293
1076,526,275
1077,495,291
1085,994,588
1087,493,297
1092,490,301
1098,522,288
1100,498,301
1101,3002,1802
1107,942,636
1108,530,289
1111,2625,1465
1112,1020,602
1113,1006,610
1121,998,622
1127,483,322
1144,484,330
1150,486,332
1168,496,336
1175,479,348
1190,510,340
1196,1482,1053
1207,493,357
1214,492,361
1216,492,362
1221,473,374
1225,481,372
1241,497,372
1242,856,814
1243,507,368
1246,484,381
1268,908,814
1271,924,809
1281,473,404
1282,444,419
1287,1788,1680
1291,914,834
1294,464,415
1296,956,818
1297,866,864
1298,452,423
1299,467,416
1302,948,828
1309,479,415
1313,870,878
1316,888,872
1317,473,422
1320,1356,1302
1326,470,428
1333,457,438
1339,425,457
1343,890,898
1347,443,452
1350,440,455
1353,435,459
1357,830,942
1366,1284,1407
1367,846,944
1378,438,470
1379,1279,1429
1383,2131,2392
1387,860,957
1390,410,490
1406,832,990
1407,419,494
1414,408,503
1418,406,506
1430,412,509
1432,420,506
1438,394,522
1447,786,1054
1453,429,512
1454,406,524
1456,1164,1602
1459,397,531
1460,796,1062
1465,786,1072
1469,1556,2160
1472,390,541
1475,401,537
1478,724,1116
1481,399,541
1482,398,542
1498,364,567
1501,379,561
1507,371,568
1522,330,596
1526,374,576
1535,355,590
1546,370,588
1558,684,1216
1577,359,609
1583,321,631
1589,658,1260
1591,323,634
1602,332,635
1606,308,649
1610,312,649
1614,608,1310
1623,1228,2632
1625,321,652
1629,303,663
1637,309,664
1641,299,671
1643,1132,2720
1652,864,2046
1659,291,684
1662,286,688
1663,289,687
1685,267,709
1687,271,708
1691,795,2139
1692,264,714
1696,512,1440
1701,251,725
1708,492,1462
1709,245,732
1727,454,1500
1742,1130,3790
1744,226,759
1746,210,768
1756,428,1542
1762,210,776
1775,595,2365
1777,402,1576
1780,200,790
1794,188,803
1797,382,1606
1799,183,808
1804,344,1632
1819,169,825
1820,164,828
1837,147,845
1847,147,850
1849,145,852
1862,124,869
1863,129,867
1871,236,1753
1877,115,881
1886,104,891
1896,408,3588
1897,190,1802
1901,91,905
1904,90,907
1905,170,1820
1908,176,1820
1909,166,1826
1911,81,915
1913,83,915
1919,79,920
1924,74,925
1929,71,929
1940,60,940
1945,165,2835
1957,129,2871
1968,32,968
1977,23,977
1979,21,979
1980,20,980
1984,32,1968
1993,14,1986
1994,18,2982
1995,15,2985
