,n_ton,avg_homo_b,exp_homo_b,exp_minus_avg
0,2,0.0,5.000250012500625e-05,5.000250012500625e-05
1,3,0.0,0.00015000750037501875,0.00015000750037501875
2,4,0.0,0.0003000150007500375,0.0003000150007500375
3,5,0.0,0.0005000250012500625,0.0005000250012500625
4,6,0.0,0.0007500375018750937,0.0007500375018750937
5,7,0.0,0.0010500525026251313,0.0010500525026251313
6,8,0.0,0.001400070003500175,0.001400070003500175
7,9,0.0,0.0018000900045002251,0.0018000900045002251
8,10,0.0,0.0022501125056252815,0.0022501125056252815
9,11,0.0,0.002750137506875344,0.002750137506875344
10,12,0.0,0.0033001650082504124,0.0033001650082504124
11,13,0.0,0.0039001950097504873,0.0039001950097504873
12,14,0.0,0.004550227511375569,0.004550227511375569
13,15,0.0,0.005250262513125656,0.005250262513125656
14,16,0.0,0.00600030001500075,0.00600030001500075
15,17,0.0,0.006800340017000851,0.006800340017000851
16,18,0.0,0.007650382519125956,0.007650382519125956
17,19,0.0,0.008550427521376067,0.008550427521376067
18,20,0.0,0.00950047502375119,0.00950047502375119
19,21,0.0,0.010500525026251314,0.010500525026251314
20,22,0.5,0.011550577528876444,-0.48844942247112355
21,23,0.0,0.012650632531626581,0.012650632531626581
22,24,0.0,0.013800690034501727,0.013800690034501727
23,25,0.0,0.015000750037501875,0.015000750037501875
24,26,0.0,0.016250812540627033,0.016250812540627033
25,27,0.0,0.017550877543877193,0.017550877543877193
26,31,0.0,0.023251162558127907,0.023251162558127907
27,32,0.0,0.0248012400620031,0.0248012400620031
28,33,0.0,0.0264013200660033,0.0264013200660033
29,37,0.0,0.03330166508325417,0.03330166508325417
