,n_ton,avg_homo_b,exp_homo_b,exp_minus_avg
0,2,0.0,0.001001001001001001,0.001001001001001001
1,3,0.0,0.003003003003003003,0.003003003003003003
2,4,0.009009009009009009,0.006006006006006006,-0.003003003003003003
3,5,0.01,0.01001001001001001,1.0010010010009715e-05
4,6,0.015384615384615385,0.015015015015015017,-0.00036960036960036885
5,7,0.030303030303030304,0.02102102102102102,-0.009282009282009285
6,8,0.037037037037037035,0.028028028028028024,-0.00900900900900901
7,9,0.030303030303030304,0.036036036036036036,0.005733005733005732
8,10,0.022727272727272728,0.04504504504504504,0.022317772317772315
9,11,0.0967741935483871,0.055055055055055056,-0.04171913849333204
10,12,0.0,0.06606606606606608,0.06606606606606608
11,13,0.07142857142857142,0.07807807807807808,0.006649506649506656
12,14,0.038461538461538464,0.09109109109109108,0.052629552629552614
13,15,0.03125,0.1051051051051051,0.0738551051051051
14,16,0.0967741935483871,0.12012012012012013,0.02334592657173304
15,17,0.0,0.13613613613613618,0.13613613613613618
16,18,0.2,0.15315315315315314,-0.04684684684684687
17,19,0.08695652173913043,0.1711711711711712,0.08421464943204077
18,20,0.2692307692307692,0.19019019019019018,-0.07904057904057904
19,21,0.26666666666666666,0.2102102102102102,-0.05645645645645647
20,22,0.15,0.2312312312312312,0.08123123123123122
21,23,0.42857142857142855,0.25325325325325326,-0.17531817531817528
22,24,0.14285714285714285,0.2762762762762762,0.13341913341913336
23,25,0.5333333333333333,0.3003003003003003,-0.23303303303303302
24,26,0.30434782608695654,0.3253253253253253,0.02097749923836878
25,27,0.7857142857142857,0.3513513513513513,-0.4343629343629344
26,28,0.18181818181818182,0.37837837837837834,0.19656019656019652
27,29,0.5,0.4064064064064064,-0.0935935935935936
28,30,0.1111111111111111,0.43543543543543545,0.32432432432432434
29,31,0.7692307692307693,0.4654654654654655,-0.30376530376530375
30,32,0.25,0.4964964964964966,0.24649649649649658
31,33,0.42857142857142855,0.5285285285285284,0.09995709995709984
32,34,0.6428571428571429,0.5615615615615617,-0.08129558129558123
33,35,0.5,0.5955955955955956,0.0955955955955956
34,36,0.5,0.6306306306306305,0.13063063063063052
35,37,0.8571428571428571,0.6666666666666666,-0.19047619047619047
36,38,0.4,0.7037037037037038,0.3037037037037038
37,39,0.7272727272727273,0.7417417417417417,0.014469014469014385
38,40,0.5714285714285714,0.7807807807807807,0.20935220935220933
39,41,0.5384615384615384,0.8208208208208209,0.2823592823592824
40,42,1.1428571428571428,0.861861861861862,-0.2809952809952808
41,43,1.0714285714285714,0.903903903903904,-0.16752466752466744
42,44,1.0,0.9469469469469469,-0.05305305305305308
43,45,1.3,0.990990990990991,-0.3090090090090091
44,46,2.0,1.036036036036036,-0.9639639639639641
45,47,1.25,1.0820820820820822,-0.16791791791791777
46,48,1.2857142857142858,1.129129129129129,-0.15658515658515682
47,49,1.25,1.1771771771771773,-0.07282282282282271
48,50,2.0,1.2262262262262258,-0.7737737737737742
49,51,1.0,1.2762762762762763,0.27627627627627627
50,52,1.5,1.3273273273273274,-0.1726726726726726
51,53,0.5,1.3793793793793798,0.8793793793793798
52,55,1.0,1.4864864864864862,0.4864864864864862
53,56,1.6666666666666667,1.5415415415415414,-0.1251251251251253
54,57,2.3333333333333335,1.5975975975975976,-0.7357357357357359
55,58,0.4,1.654654654654655,1.2546546546546549
56,59,1.0,1.7127127127127124,0.7127127127127124
57,60,2.3333333333333335,1.7717717717717718,-0.5615615615615617
58,61,2.6666666666666665,1.8318318318318316,-0.8348348348348349
59,62,0.5,1.892892892892893,1.392892892892893
60,63,1.6666666666666667,1.9549549549549552,0.28828828828828845
61,64,2.0,2.018018018018018,0.018018018018017834
62,65,3.0,2.0820820820820827,-0.9179179179179173
63,66,1.25,2.1471471471471473,0.8971471471471473
64,67,3.0,2.2132132132132134,-0.7867867867867866
65,68,0.6666666666666666,2.2802802802802806,1.613613613613614
66,69,1.5,2.3483483483483476,0.8483483483483476
67,70,3.4,2.417417417417417,-0.9825825825825829
