,heterozygotes,homozygotes
2,380,0
3,357,0
4,390,1
5,425,0
6,330,0
7,406,0
8,422,1
9,390,3
10,442,4
11,339,1
12,472,4
13,436,3
14,598,2
15,348,6
16,300,2
17,453,3
18,410,2
19,359,1
20,474,3
21,469,7
22,370,2
23,427,5
24,426,3
25,365,5
26,388,1
27,160,1
28,246,3
29,313,3
30,288,6
31,474,11
32,468,6
33,568,13
34,334,3
35,412,4
36,424,4
37,290,3
38,590,9
39,469,19
40,344,8
41,195,5
42,478,13
43,541,9
44,426,7
45,424,13
46,346,11
47,591,10
48,644,14
49,329,7
50,192,4
51,445,7
52,244,8
53,355,8
54,260,5
55,359,13
56,632,20
57,314,14
58,324,12
59,729,19
60,406,7
61,580,15
62,400,17
63,474,15
64,300,10
65,421,17
66,180,9
67,376,13
68,258,7
69,384,15
70,68,1
71,329,13
72,336,12
73,343,11
74,346,12
75,132,9
76,286,9
77,499,20
78,640,31
79,290,13
80,432,24
81,389,8
82,228,9
83,154,6
84,678,39
85,316,12
86,476,20
87,405,15
88,234,15
89,407,19
90,512,14
91,411,22
92,332,18
93,607,22
94,252,15
95,439,18
96,246,21
97,85,6
98,622,32
99,275,11
100,836,32
101,271,16
102,278,14
103,97,3
104,98,3
105,190,10
106,486,22
107,93,7
108,376,28
109,297,15
110,676,47
111,297,18
112,100,6
113,396,28
114,778,67
115,101,7
116,518,31
117,105,6
118,192,22
119,632,41
120,112,4
121,309,27
122,980,59
123,620,59
124,540,40
125,545,40
127,115,6
128,350,17
129,214,22
130,328,31
131,567,44
132,350,23
134,452,42
135,107,14
136,730,43
138,246,15
139,974,69
140,466,47
141,361,31
142,500,34
143,135,4
144,728,68
146,500,42
147,389,26
148,994,95
149,252,23
150,390,30
151,1163,98
152,272,16
153,399,30
154,406,28
155,381,42
156,544,40
157,391,40
158,126,16
160,820,70
161,405,39
164,520,68
165,548,56
166,418,40
167,691,72
168,682,79
169,669,88
170,148,11
171,280,31
172,146,13
173,443,38
174,152,11
175,894,78
176,150,13
177,153,12
178,726,82
179,572,72
180,596,62
181,137,22
182,454,46
183,290,38
184,302,33
186,888,114
187,304,35
188,292,42
190,442,64
191,423,75
192,162,15
193,151,21
194,320,34
196,318,37
197,322,36
198,162,18
200,168,16
201,487,58
202,474,66
203,318,44
204,152,26
205,322,44
206,318,47
207,473,74
208,488,68
209,306,56
210,648,96
211,171,20
212,508,64
214,698,79
215,992,149
216,874,103
217,177,20
219,165,27
220,182,19
221,350,46
222,352,46
223,1396,194
227,491,95
228,180,24
229,724,96
230,182,24
232,346,59
234,180,27
235,191,22
236,364,54
237,322,76
238,364,56
239,545,86
241,712,126
243,189,27
244,342,73
245,374,58
246,182,32
247,382,56
248,352,72
249,404,47
250,196,27
251,380,61
252,738,135
253,742,135
254,192,31
255,195,30
256,404,54
257,187,35
258,176,41
259,579,99
261,388,67
262,382,71
263,205,29
264,200,32
266,188,39
267,384,75
268,980,180
269,203,33
270,200,35
271,782,151
272,192,40
275,615,105
276,202,37
279,406,76
281,416,73
282,206,38
283,382,92
284,812,162
286,442,65
289,414,82
291,929,263
292,802,183
293,1053,206
294,400,94
297,221,38
298,422,87
299,462,68
302,444,80
303,456,75
305,627,144
307,195,56
311,1095,230
312,850,199
313,442,92
315,201,57
316,446,93
318,1524,351
319,675,141
320,226,47
321,215,53
323,217,53
324,432,108
326,222,52
327,227,50
331,211,60
334,924,206
336,230,53
337,450,112
338,220,59
339,444,117
342,234,54
343,677,176
344,218,63
347,209,69
348,460,118
351,657,198
352,708,174
353,458,124
356,930,247
357,460,127
361,430,146
362,684,201
363,458,134
364,914,271
365,231,67
368,708,198
371,932,276
372,232,70
375,211,82
376,744,192
377,691,220
378,244,67
381,243,69
384,242,71
394,226,84
396,1684,544
399,470,164
400,248,76
403,978,317
404,250,77
408,752,236
409,239,85
410,250,80
411,470,176
412,234,89
413,241,86
414,266,74
415,506,162
416,248,84
417,233,92
421,241,90
424,504,172
427,255,86
430,496,182
431,438,212
432,736,280
435,510,180
439,235,102
442,244,99
443,247,98
444,250,97
446,240,103
448,220,114
449,480,209
450,484,208
451,259,96
453,476,215
454,262,96
455,478,216
456,528,192
459,243,108
461,494,214
464,488,220
470,504,218
471,247,112
473,237,118
478,264,107
479,755,341
480,246,117
483,263,110
488,506,235
489,426,276
491,558,212
492,244,124
494,822,330
495,261,117
502,240,131
503,227,138
504,548,230
506,548,232
507,273,117
508,236,136
509,279,115
511,213,149
512,738,399
514,242,136
518,248,135
520,274,123
521,257,132
523,486,280
526,256,135
528,488,284
530,744,423
531,486,288
535,239,148
536,708,450
537,261,138
538,484,296
539,1701,1036
542,258,142
543,239,152
544,1056,560
550,492,304
551,502,300
552,766,445
553,241,156
561,482,320
564,466,331
573,251,161
584,248,168
585,1265,830
587,723,519
597,745,523
599,253,173
600,246,177
604,486,361
605,237,184
606,460,376
618,468,384
622,230,196
623,478,384
624,248,188
626,230,198
629,239,195
633,235,199
636,976,784
639,675,621
644,244,200
645,454,418
647,231,208
648,236,206
649,219,215
653,229,212
654,226,214
655,478,416
656,436,438
661,227,217
662,662,662
663,243,210
666,222,222
669,1149,1098
670,232,219
672,210,231
673,235,219
674,222,226
681,450,456
682,216,233
684,440,464
685,227,229
688,216,236
689,438,470
690,202,244
693,681,699
698,856,968
699,436,481
700,226,237
701,231,235
708,204,252
709,591,768
714,204,255
716,200,258
717,430,502
718,404,516
719,211,254
720,380,530
724,214,255
729,181,274
732,204,264
733,418,524
735,189,273
746,558,840
747,183,282
750,196,277
752,170,291
754,368,570
757,189,284
763,161,301
769,185,292
773,171,301
780,170,305
789,175,307
800,336,632
801,161,320
811,161,325
812,294,665
814,576,1340
817,425,1013
818,154,332
820,296,672
822,592,1348
825,155,335
828,144,342
833,568,1382
835,145,345
836,268,702
840,408,1056
841,141,350
846,132,357
849,123,363
853,115,369
855,127,364
856,110,373
860,244,738
862,120,371
864,114,375
874,220,764
877,210,772
881,109,386
884,96,394
886,530,1950
888,192,792
890,98,396
893,283,1198
896,176,808
897,97,400
901,178,812
909,83,413
912,80,416
916,76,420
917,79,419
919,81,419
928,66,431
931,63,434
933,63,435
941,114,884
943,55,444
945,304,2683
946,52,447
948,50,449
950,92,904
952,84,910
957,39,459
958,84,916
961,68,927
965,105,1395
976,96,1904
983,17,483
986,84,2916
987,13,487
989,11,489
994,6,494
995,15,1485
1000,0,1500
