,n_ton,avg_homo_b,exp_homo_b,exp_minus_avg
0,2,0.0,5.000250012500625e-05,5.000250012500625e-05
1,3,0.0,0.00015000750037501875,0.00015000750037501875
2,4,0.0,0.0003000150007500375,0.0003000150007500375
3,5,0.0,0.0005000250012500625,0.0005000250012500625
4,6,0.0,0.0007500375018750937,0.0007500375018750937
5,7,0.0,0.0010500525026251313,0.0010500525026251313
6,8,0.0,0.001400070003500175,0.001400070003500175
7,9,0.0,0.0018000900045002251,0.0018000900045002251
8,10,0.06451612903225806,0.0022501125056252815,-0.06226601652663278
9,11,0.0,0.002750137506875344,0.002750137506875344
10,12,0.0,0.0033001650082504124,0.0033001650082504124
11,13,0.0,0.0039001950097504873,0.0039001950097504873
12,14,0.0,0.004550227511375569,0.004550227511375569
13,15,0.0,0.005250262513125656,0.005250262513125656
14,16,0.0,0.00600030001500075,0.00600030001500075
15,17,0.0,0.006800340017000851,0.006800340017000851
16,18,0.0,0.007650382519125956,0.007650382519125956
17,19,0.0,0.008550427521376067,0.008550427521376067
18,20,0.0,0.00950047502375119,0.00950047502375119
19,21,0.0,0.010500525026251314,0.010500525026251314
20,22,0.0,0.011550577528876444,0.011550577528876444
21,23,0.0,0.012650632531626581,0.012650632531626581
22,24,0.0,0.013800690034501727,0.013800690034501727
23,25,0.0,0.015000750037501875,0.015000750037501875
24,26,0.0,0.016250812540627033,0.016250812540627033
25,27,0.0,0.017550877543877193,0.017550877543877193
26,28,0.0,0.018900945047252364,0.018900945047252364
27,29,0.0,0.020301015050752536,0.020301015050752536
28,30,0.1,0.02175108755437772,-0.07824891244562229
29,31,0.0,0.023251162558127907,0.023251162558127907
30,32,0.0,0.0248012400620031,0.0248012400620031
31,33,0.0,0.0264013200660033,0.0264013200660033
32,34,0.0,0.028051402570128503,0.028051402570128503
33,35,0.0,0.02975148757437872,0.02975148757437872
34,36,0.0,0.03150157507875394,0.03150157507875394
35,37,0.0,0.03330166508325417,0.03330166508325417
36,38,0.0,0.03515175758787938,0.03515175758787938
37,39,0.0,0.03705185259262962,0.03705185259262962
38,40,0.0,0.03900195009750487,0.03900195009750487
39,41,0.0,0.04100205010250512,0.04100205010250512
40,42,0.0,0.04305215260763038,0.04305215260763038
41,43,0.0,0.04515225761288065,0.04515225761288065
42,44,0.0,0.04730236511825591,0.04730236511825591
43,45,0.0,0.04950247512375619,0.04950247512375619
44,46,0.0,0.051752587629381466,0.051752587629381466
45,47,0.2,0.05405270263513175,-0.14594729736486828
46,48,0.0,0.056402820141007046,0.056402820141007046
47,49,0.0,0.05880294014700736,0.05880294014700736
48,50,0.0,0.061253062653132656,0.061253062653132656
49,51,0.0,0.06375318765938297,0.06375318765938297
50,52,0.16666666666666666,0.0663033151657583,-0.10036335150090836
51,53,0.0,0.0689034451722586,0.0689034451722586
52,54,0.0,0.07155357767888397,0.07155357767888397
53,55,0.0,0.07425371268563428,0.07425371268563428
54,56,0.0,0.07700385019250962,0.07700385019250962
55,57,0.0,0.07980399019950998,0.07980399019950998
56,58,0.0,0.08265413270663534,0.08265413270663534
57,59,0.0,0.08555427771388568,0.08555427771388568
58,60,0.3333333333333333,0.08850442522126106,-0.24482890811207225
59,61,0.16666666666666666,0.09150457522876145,-0.07516209143790521
60,62,0.0,0.09455472773638682,0.09455472773638682
61,63,0.0,0.09765488274413722,0.09765488274413722
62,64,0.0,0.1008050402520126,0.1008050402520126
63,65,0.0,0.10400520026001299,0.10400520026001299
64,66,0.0,0.10725536276813842,0.10725536276813842
65,67,0.0,0.11055552777638883,0.11055552777638883
66,68,0.0,0.11390569528476423,0.11390569528476423
67,69,0.0,0.11730586529326464,0.11730586529326464
68,70,0.16666666666666666,0.12075603780189009,-0.045910628864776565
69,71,0.0,0.12425621281064053,0.12425621281064053
70,72,0.0,0.127806390319516,0.127806390319516
71,73,0.0,0.13140657032851638,0.13140657032851638
72,74,0.0,0.13505675283764187,0.13505675283764187
73,75,0.5,0.13875693784689236,-0.36124306215310764
74,76,0.0,0.14250712535626783,0.14250712535626783
75,77,0.0,0.14630731536576824,0.14630731536576824
76,78,0.0,0.15015750787539375,0.15015750787539375
77,80,0.0,0.15800790039501977,0.15800790039501977
78,81,0.4,0.1620081004050202,-0.23799189959497982
79,82,0.0,0.16605830291514576,0.16605830291514576
80,83,1.0,0.17015850792539627,-0.8298414920746038
81,84,0.0,0.17430871543577178,0.17430871543577178
82,87,0.6666666666666666,0.18705935296764833,-0.4796073136990183
83,88,0.0,0.1914095704785239,0.1914095704785239
84,89,0.0,0.1958097904895245,0.1958097904895245
85,90,0.0,0.20026001300065005,0.20026001300065005
86,91,0.0,0.20476023801190055,0.20476023801190055
87,92,0.0,0.20931046552327617,0.20931046552327617
88,93,0.0,0.21391069553477676,0.21391069553477676
89,94,0.0,0.21856092804640231,0.21856092804640231
90,95,0.0,0.22326116305815288,0.22326116305815288
91,96,0.0,0.2280114005700285,0.2280114005700285
92,97,0.0,0.2328116405820291,0.2328116405820291
93,101,0.0,0.2525126256312816,0.2525126256312816
94,102,0.0,0.2575628781439072,0.2575628781439072
95,103,0.0,0.26266313315665785,0.26266313315665785
96,104,0.0,0.26781339066953336,0.26781339066953336
97,105,0.5,0.2730136506825341,-0.22698634931746592
98,106,2.0,0.27826391319565985,-1.72173608680434
99,107,0.6666666666666666,0.28356417820891044,-0.3831024884577562
100,108,0.0,0.2889144457222861,0.2889144457222861
101,109,1.3333333333333333,0.2943147157357868,-1.0390186175975464
102,110,0.5,0.2997649882494125,-0.2002350117505875
103,111,1.0,0.30526526326316317,-0.6947347367368368
104,112,2.0,0.3108155407770389,-1.689184459222961
105,115,0.0,0.3277663883194159,0.3277663883194159
106,116,1.0,0.3335166758337917,-0.6664833241662083
107,117,0.0,0.3393169658482923,0.3393169658482923
108,118,0.0,0.3451672583629181,0.3451672583629181
109,119,0.0,0.35106755337766893,0.35106755337766893
110,122,0.75,0.369068453422671,-0.380931546577329
111,123,0.0,0.37516875843792197,0.37516875843792197
112,125,0.0,0.38751937596879843,0.38751937596879843
113,126,0.0,0.39376968848442423,0.39376968848442423
114,127,0.0,0.40007000350017496,0.40007000350017496
115,131,0.0,0.4257712885644283,0.4257712885644283
116,132,1.0,0.43232161608080405,-0.5676783839191959
